lev_dt,sl_lev_va,date
03/30/1970,46.32,1970-03-30
03/31/1970,46.31,1970-03-31
04/01/1970,46.33,1970-04-01
04/02/1970,46.36,1970-04-02
04/03/1970,46.31,1970-04-03
04/04/1970,46.36,1970-04-04
04/05/1970,46.44,1970-04-05
04/06/1970,46.46,1970-04-06
04/07/1970,46.44,1970-04-07
04/08/1970,46.47,1970-04-08
04/09/1970,46.53,1970-04-09
04/10/1970,46.57,1970-04-10
04/11/1970,46.61,1970-04-11
04/12/1970,46.67,1970-04-12
04/13/1970,46.66,1970-04-13
04/14/1970,46.68,1970-04-14
04/15/1970,46.67,1970-04-15
04/16/1970,46.66,1970-04-16
04/17/1970,46.69,1970-04-17
04/18/1970,46.73,1970-04-18
04/19/1970,46.78,1970-04-19
04/20/1970,46.76,1970-04-20
04/21/1970,46.74,1970-04-21
04/22/1970,46.71,1970-04-22
04/23/1970,46.72,1970-04-23
04/24/1970,46.74,1970-04-24
04/25/1970,46.75,1970-04-25
04/26/1970,46.75,1970-04-26
04/27/1970,46.74,1970-04-27
04/28/1970,46.74,1970-04-28
04/29/1970,46.73,1970-04-29
04/30/1970,46.73,1970-04-30
05/01/1970,46.69,1970-05-01
05/02/1970,46.7,1970-05-02
05/03/1970,46.69,1970-05-03
05/04/1970,46.68,1970-05-04
05/05/1970,46.64,1970-05-05
05/06/1970,46.62,1970-05-06
05/07/1970,46.6,1970-05-07
05/08/1970,46.58,1970-05-08
05/09/1970,46.55,1970-05-09
05/10/1970,46.53,1970-05-10
05/11/1970,46.51,1970-05-11
05/12/1970,46.48,1970-05-12
05/13/1970,46.45,1970-05-13
05/14/1970,46.41,1970-05-14
05/15/1970,46.37,1970-05-15
05/16/1970,46.33,1970-05-16
05/17/1970,46.28,1970-05-17
05/18/1970,46.22,1970-05-18
05/19/1970,46.16,1970-05-19
05/20/1970,46.14,1970-05-20
05/21/1970,46.12,1970-05-21
05/22/1970,46.09,1970-05-22
05/23/1970,46.06,1970-05-23
05/24/1970,46.11,1970-05-24
05/25/1970,46.12,1970-05-25
05/26/1970,46.09,1970-05-26
05/27/1970,46.03,1970-05-27
05/28/1970,45.98,1970-05-28
05/29/1970,45.99,1970-05-29
05/30/1970,46.02,1970-05-30
05/31/1970,46.03,1970-05-31
06/01/1970,46.01,1970-06-01
06/02/1970,46.01,1970-06-02
06/03/1970,46.01,1970-06-03
06/04/1970,46.03,1970-06-04
06/05/1970,46.04,1970-06-05
06/06/1970,46.04,1970-06-06
06/07/1970,46.03,1970-06-07
06/08/1970,45.99,1970-06-08
06/09/1970,45.96,1970-06-09
06/10/1970,45.96,1970-06-10
06/11/1970,45.96,1970-06-11
06/12/1970,45.93,1970-06-12
06/13/1970,45.89,1970-06-13
06/14/1970,45.89,1970-06-14
06/15/1970,45.89,1970-06-15
06/16/1970,45.86,1970-06-16
06/17/1970,45.82,1970-06-17
06/18/1970,45.77,1970-06-18
06/19/1970,45.76,1970-06-19
06/20/1970,45.74,1970-06-20
06/21/1970,45.69,1970-06-21
06/22/1970,45.64,1970-06-22
06/23/1970,45.65,1970-06-23
06/24/1970,45.66,1970-06-24
06/25/1970,45.64,1970-06-25
06/26/1970,45.63,1970-06-26
06/27/1970,45.61,1970-06-27
06/28/1970,45.6,1970-06-28
06/29/1970,45.59,1970-06-29
06/30/1970,45.57,1970-06-30
07/01/1970,45.59,1970-07-01
07/02/1970,45.6,1970-07-02
07/03/1970,45.59,1970-07-03
07/04/1970,45.6,1970-07-04
07/05/1970,45.59,1970-07-05
07/06/1970,45.57,1970-07-06
07/07/1970,45.56,1970-07-07
07/08/1970,45.54,1970-07-08
07/09/1970,45.54,1970-07-09
07/10/1970,45.52,1970-07-10
07/11/1970,45.49,1970-07-11
07/12/1970,45.48,1970-07-12
07/13/1970,45.47,1970-07-13
07/14/1970,45.46,1970-07-14
07/15/1970,45.46,1970-07-15
07/16/1970,45.47,1970-07-16
07/17/1970,45.46,1970-07-17
07/18/1970,45.44,1970-07-18
07/19/1970,45.43,1970-07-19
07/20/1970,45.41,1970-07-20
07/21/1970,45.43,1970-07-21
07/22/1970,45.44,1970-07-22
07/23/1970,45.49,1970-07-23
07/24/1970,45.5,1970-07-24
07/25/1970,45.54,1970-07-25
07/26/1970,45.58,1970-07-26
07/27/1970,45.58,1970-07-27
07/28/1970,45.56,1970-07-28
07/29/1970,45.58,1970-07-29
07/30/1970,45.57,1970-07-30
07/31/1970,45.57,1970-07-31
08/01/1970,45.54,1970-08-01
08/02/1970,45.53,1970-08-02
08/03/1970,45.5,1970-08-03
08/04/1970,45.48,1970-08-04
08/05/1970,45.55,1970-08-05
08/06/1970,45.53,1970-08-06
08/07/1970,45.52,1970-08-07
08/08/1970,45.5,1970-08-08
08/09/1970,45.51,1970-08-09
08/10/1970,45.54,1970-08-10
08/11/1970,45.59,1970-08-11
08/12/1970,45.69,1970-08-12
08/13/1970,45.79,1970-08-13
08/14/1970,45.87,1970-08-14
08/15/1970,45.94,1970-08-15
08/16/1970,46.03,1970-08-16
08/17/1970,46.08,1970-08-17
08/18/1970,46.12,1970-08-18
08/19/1970,46.15,1970-08-19
08/20/1970,46.2,1970-08-20
08/21/1970,46.24,1970-08-21
08/22/1970,46.33,1970-08-22
08/23/1970,46.34,1970-08-23
08/24/1970,46.36,1970-08-24
08/25/1970,46.38,1970-08-25
08/26/1970,46.42,1970-08-26
08/27/1970,46.47,1970-08-27
08/28/1970,46.53,1970-08-28
08/29/1970,46.56,1970-08-29
08/30/1970,46.59,1970-08-30
08/31/1970,46.62,1970-08-31
09/01/1970,46.65,1970-09-01
09/02/1970,46.67,1970-09-02
09/03/1970,46.69,1970-09-03
09/04/1970,46.68,1970-09-04
09/05/1970,46.7,1970-09-05
09/06/1970,46.7,1970-09-06
09/07/1970,46.72,1970-09-07
09/08/1970,46.75,1970-09-08
09/09/1970,46.72,1970-09-09
09/10/1970,46.69,1970-09-10
09/11/1970,46.72,1970-09-11
09/12/1970,46.71,1970-09-12
09/13/1970,46.69,1970-09-13
09/14/1970,46.68,1970-09-14
09/15/1970,46.67,1970-09-15
09/16/1970,46.65,1970-09-16
09/17/1970,46.64,1970-09-17
09/18/1970,46.61,1970-09-18
09/19/1970,46.59,1970-09-19
09/20/1970,46.58,1970-09-20
09/21/1970,46.56,1970-09-21
09/22/1970,46.56,1970-09-22
09/23/1970,46.54,1970-09-23
09/24/1970,46.51,1970-09-24
09/25/1970,46.48,1970-09-25
09/26/1970,46.5,1970-09-26
09/27/1970,46.49,1970-09-27
09/28/1970,46.46,1970-09-28
09/29/1970,46.48,1970-09-29
09/30/1970,46.45,1970-09-30
10/01/1970,46.44,1970-10-01
10/02/1970,46.42,1970-10-02
10/03/1970,46.39,1970-10-03
10/04/1970,46.36,1970-10-04
10/05/1970,46.34,1970-10-05
10/06/1970,46.33,1970-10-06
10/07/1970,46.31,1970-10-07
10/08/1970,46.31,1970-10-08
10/09/1970,46.29,1970-10-09
10/10/1970,46.24,1970-10-10
10/11/1970,46.22,1970-10-11
10/12/1970,46.19,1970-10-12
10/13/1970,46.18,1970-10-13
10/14/1970,46.15,1970-10-14
10/15/1970,46.13,1970-10-15
10/16/1970,46.11,1970-10-16
10/17/1970,46.06,1970-10-17
10/18/1970,46.02,1970-10-18
10/19/1970,46.01,1970-10-19
10/20/1970,46.01,1970-10-20
10/21/1970,46.03,1970-10-21
10/22/1970,46.02,1970-10-22
10/23/1970,45.98,1970-10-23
10/24/1970,45.95,1970-10-24
10/25/1970,45.94,1970-10-25
10/26/1970,45.91,1970-10-26
10/27/1970,45.88,1970-10-27
10/28/1970,45.86,1970-10-28
10/29/1970,45.83,1970-10-29
10/30/1970,45.81,1970-10-30
10/31/1970,45.8,1970-10-31
11/01/1970,45.78,1970-11-01
11/02/1970,45.77,1970-11-02
11/03/1970,45.76,1970-11-03
11/04/1970,45.71,1970-11-04
11/05/1970,45.69,1970-11-05
11/06/1970,45.68,1970-11-06
11/07/1970,45.64,1970-11-07
11/08/1970,45.61,1970-11-08
11/09/1970,45.61,1970-11-09
11/10/1970,45.61,1970-11-10
11/11/1970,45.59,1970-11-11
11/12/1970,45.58,1970-11-12
11/13/1970,45.56,1970-11-13
11/14/1970,45.53,1970-11-14
11/15/1970,45.5,1970-11-15
11/16/1970,45.43,1970-11-16
11/17/1970,45.41,1970-11-17
11/18/1970,45.41,1970-11-18
11/19/1970,45.4,1970-11-19
11/20/1970,45.37,1970-11-20
11/21/1970,45.32,1970-11-21
11/22/1970,45.29,1970-11-22
11/23/1970,45.3,1970-11-23
11/24/1970,45.24,1970-11-24
11/25/1970,45.16,1970-11-25
11/26/1970,45.16,1970-11-26
11/27/1970,45.16,1970-11-27
11/28/1970,45.13,1970-11-28
11/29/1970,45.1,1970-11-29
11/30/1970,45.08,1970-11-30
12/01/1970,45.06,1970-12-01
12/02/1970,45.03,1970-12-02
12/03/1970,45.01,1970-12-03
12/04/1970,45.01,1970-12-04
12/05/1970,45.0,1970-12-05
12/06/1970,44.97,1970-12-06
12/07/1970,44.93,1970-12-07
12/08/1970,44.89,1970-12-08
12/09/1970,44.86,1970-12-09
12/10/1970,44.86,1970-12-10
12/11/1970,44.86,1970-12-11
12/12/1970,44.84,1970-12-12
12/13/1970,44.81,1970-12-13
12/14/1970,44.76,1970-12-14
12/15/1970,44.76,1970-12-15
12/16/1970,44.76,1970-12-16
12/17/1970,44.75,1970-12-17
12/18/1970,44.69,1970-12-18
12/19/1970,44.66,1970-12-19
12/20/1970,44.65,1970-12-20
12/21/1970,44.63,1970-12-21
12/22/1970,44.61,1970-12-22
12/23/1970,44.6,1970-12-23
12/24/1970,44.59,1970-12-24
12/25/1970,44.61,1970-12-25
12/26/1970,44.54,1970-12-26
12/27/1970,44.51,1970-12-27
12/28/1970,44.49,1970-12-28
12/29/1970,44.51,1970-12-29
12/30/1970,44.46,1970-12-30
12/31/1970,44.51,1970-12-31
01/01/1971,44.44,1971-01-01
01/02/1971,44.41,1971-01-02
01/03/1971,44.39,1971-01-03
01/04/1971,44.37,1971-01-04
01/05/1971,44.35,1971-01-05
01/06/1971,44.31,1971-01-06
01/07/1971,44.31,1971-01-07
01/08/1971,44.3,1971-01-08
01/09/1971,44.3,1971-01-09
01/10/1971,44.26,1971-01-10
01/11/1971,44.24,1971-01-11
01/12/1971,44.21,1971-01-12
01/13/1971,44.19,1971-01-13
01/14/1971,44.19,1971-01-14
01/15/1971,44.22,1971-01-15
01/16/1971,44.2,1971-01-16
01/17/1971,44.23,1971-01-17
01/18/1971,44.23,1971-01-18
01/19/1971,44.21,1971-01-19
01/20/1971,44.1,1971-01-20
01/21/1971,44.13,1971-01-21
01/22/1971,44.16,1971-01-22
01/23/1971,44.16,1971-01-23
01/24/1971,44.14,1971-01-24
01/25/1971,44.15,1971-01-25
01/26/1971,44.14,1971-01-26
01/27/1971,44.08,1971-01-27
01/28/1971,44.06,1971-01-28
01/29/1971,44.06,1971-01-29
01/30/1971,44.08,1971-01-30
01/31/1971,44.08,1971-01-31
02/01/1971,44.04,1971-02-01
02/02/1971,43.96,1971-02-02
02/03/1971,43.98,1971-02-03
02/04/1971,43.99,1971-02-04
02/05/1971,44.05,1971-02-05
02/06/1971,44.0,1971-02-06
02/07/1971,44.01,1971-02-07
02/08/1971,44.13,1971-02-08
02/09/1971,44.15,1971-02-09
02/10/1971,44.2,1971-02-10
02/11/1971,44.29,1971-02-11
02/12/1971,44.43,1971-02-12
02/13/1971,44.45,1971-02-13
