,clean_text,retweets,favorites
116,BMW X5 AUTOMATIQUE V8 MILLIONS HT VÉHICULE SUR COMMANDE AU CANADA INFOLINE : +225 WHATSAPP...  ,0.0,0.0
117,Cars: GTR F150 Raptor Ford GT Civic Yaris BMW -7 Series New Cars Brand New Cars Vehicles,0.0,0.0
118,Charger cheaper than Hydrogen tank:- BMW ’s emission-free fuel-cell car has a km range & refuels in three minutes  ,0.0,0.0
119,Just in! We have recently added a BMW Series to our inventory. Check it out :  ,0.0,0.0
120,Check out Greg and his NEW ! Congratulations!,0.0,1.0
121,Why Car Enthusiasts Should Embrace Cafeterias . . . .,0.0,0.0
122,"BMW Drivers, is your year to start using turn signals. You can do it.",2.0,7.0
123,- BMW -Series HP by TuningWerk,0.0,0.0
124,"In our Roundel Weekly story of , Scott Blazey tells us why he can't"" test drive the new ⇒ . can%E2%80%99t-test-drive-new-bmw-m2 … """,3.0,9.0
125,"BMW M4 Stunt On The World's Most Amazing Racetrack, It's Unbelievable! .",1.0,0.0
126,Someday I will have a BMW i,0.0,2.0
127,BMW X5 M BMW X5 M EXCELLENT CONDITION H.P. TWIN TURBO - PRICE DROP - NO RESERVE   -19255-0/1?ff3=2&toolid=10039&campid=5337386977&item=142223062330&vectorid=229466&lgeo=1&utm_sourcelvr.it&utm_medium=twitter …,0.0,0.0
128,BMW -Series i AC SEATS SUNROOF NAV BMW SERIES i HOT/COLD SEATS PRISTINE LUXURY…   -19255-0/1?ff3=2&toolid=10039&campid=5337386977&item=112244435865&vectorid=229466&lgeo=1&utm_sourcelvr.it&utm_medium=twitter …,0.0,0.0
129,"I liked a video from   Swiss Hillclimb Hemberg . Lancia Delta S4, BMW M3 E30 DTM, Opel",0.0,0.0
130,"Up for sale is a BMW -09-03T04:00:00.000Z""""",0.0,0.0
131,Police: BMW Slams Into Oxnard Home At End Of Pursuit  ,0.0,1.0
132,"I managed a last run out of the year today, bloody slippy mind. … . Eiyie49WFyALfWVTf8501erAEM0/ …",0.0,2.0
133,bmw x3 certified pre owned  ,0.0,0.0
134,R GS Año Click » https:// 00 kms $ 90.000,1.0,0.0
135,"Sweet blue *C*, thank you bikerxray for sending me this. … .",0.0,0.0
136,The price has changed on our BMW Series. Take a look: . s/3-6020320 …,0.0,0.0
137,BMW Reviews History of the Series in New Videos - Automobile  ,0.0,0.0
138,Just watched a mammoth episodes of the The BMW Scrambler Build from on . Great stuff Griz and,0.0,4.0
139,New post on my blog: gray bmw  ,0.0,0.0
140,New post on my blog: ebay bmw parts  ,0.0,0.0
141,New post on my blog: bmw x3 certified pre owned  ,0.0,0.0
142,New post on my blog: bmw stratham nh  ,0.0,0.0
143,perfect car for father and son outing. Love it.,0.0,0.0
